START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
06/14/15,02:10 PM,02:10 PM,Nationals at Brewers,Miller Park,,06/14/15,06/14/15,05:10 PM,05:10 PM,FALSE,TRUE,06/14/15,01:10 PM,01:10 PM,FREE,BUSY
06/15/15,07:10 PM,07:10 PM,Nationals at Rays,Tropicana Field,,06/15/15,06/15/15,10:10 PM,10:10 PM,FALSE,TRUE,06/15/15,06:10 PM,06:10 PM,FREE,BUSY
06/16/15,07:10 PM,07:10 PM,Nationals at Rays,Tropicana Field,,06/16/15,06/16/15,10:10 PM,10:10 PM,FALSE,TRUE,06/16/15,06:10 PM,06:10 PM,FREE,BUSY
06/17/15,07:05 PM,07:05 PM,Rays at Nationals,Nationals Park,,06/17/15,06/17/15,10:05 PM,10:05 PM,FALSE,TRUE,06/17/15,06:05 PM,06:05 PM,FREE,BUSY
06/18/15,07:05 PM,07:05 PM,Rays at Nationals,Nationals Park,,06/18/15,06/18/15,10:05 PM,10:05 PM,FALSE,TRUE,06/18/15,06:05 PM,06:05 PM,FREE,BUSY
06/19/15,07:05 PM,07:05 PM,Pirates at Nationals,Nationals Park,,06/19/15,06/19/15,10:05 PM,10:05 PM,FALSE,TRUE,06/19/15,06:05 PM,06:05 PM,FREE,BUSY
06/20/15,04:05 PM,04:05 PM,Pirates at Nationals,Nationals Park,,06/20/15,06/20/15,07:05 PM,07:05 PM,FALSE,TRUE,06/20/15,03:05 PM,03:05 PM,FREE,BUSY
06/21/15,01:35 PM,01:35 PM,Pirates at Nationals,Nationals Park,,06/21/15,06/21/15,04:35 PM,04:35 PM,FALSE,TRUE,06/21/15,12:35 PM,12:35 PM,FREE,BUSY
06/23/15,07:05 PM,07:05 PM,Braves at Nationals,Nationals Park,,06/23/15,06/23/15,10:05 PM,10:05 PM,FALSE,TRUE,06/23/15,06:05 PM,06:05 PM,FREE,BUSY
06/24/15,07:05 PM,07:05 PM,Braves at Nationals,Nationals Park,,06/24/15,06/24/15,10:05 PM,10:05 PM,FALSE,TRUE,06/24/15,06:05 PM,06:05 PM,FREE,BUSY
06/25/15,04:05 PM,04:05 PM,Braves at Nationals,Nationals Park,,06/25/15,06/25/15,07:05 PM,07:05 PM,FALSE,TRUE,06/25/15,03:05 PM,03:05 PM,FREE,BUSY
06/26/15,07:05 PM,07:05 PM,Nationals at Phillies,Citizens Bank Park,,06/26/15,06/26/15,10:05 PM,10:05 PM,FALSE,TRUE,06/26/15,06:05 PM,06:05 PM,FREE,BUSY
06/27/15,03:05 PM,03:05 PM,Nationals at Phillies,Citizens Bank Park,,06/27/15,06/27/15,06:05 PM,06:05 PM,FALSE,TRUE,06/27/15,02:05 PM,02:05 PM,FREE,BUSY
06/28/15,01:35 PM,01:35 PM,Nationals at Phillies,Citizens Bank Park,,06/28/15,06/28/15,04:35 PM,04:35 PM,FALSE,TRUE,06/28/15,12:35 PM,12:35 PM,FREE,BUSY
06/30/15,07:10 PM,07:10 PM,Nationals at Braves,Turner Field,,06/30/15,06/30/15,10:10 PM,10:10 PM,FALSE,TRUE,06/30/15,06:10 PM,06:10 PM,FREE,BUSY
07/01/15,07:10 PM,07:10 PM,Nationals at Braves,Turner Field,,07/01/15,07/01/15,10:10 PM,10:10 PM,FALSE,TRUE,07/01/15,06:10 PM,06:10 PM,FREE,BUSY
07/02/15,07:10 PM,07:10 PM,Nationals at Braves,Turner Field,,07/02/15,07/02/15,10:10 PM,10:10 PM,FALSE,TRUE,07/02/15,06:10 PM,06:10 PM,FREE,BUSY
07/03/15,06:05 PM,06:05 PM,Giants at Nationals,Nationals Park,,07/03/15,07/03/15,09:05 PM,09:05 PM,FALSE,TRUE,07/03/15,05:05 PM,05:05 PM,FREE,BUSY
07/04/15,11:05 AM,11:05 AM,Giants at Nationals,Nationals Park,,07/04/15,07/04/15,02:05 PM,02:05 PM,FALSE,TRUE,07/04/15,10:05 AM,10:05 AM,FREE,BUSY
07/05/15,01:35 PM,01:35 PM,Giants at Nationals,Nationals Park,,07/05/15,07/05/15,04:35 PM,04:35 PM,FALSE,TRUE,07/05/15,12:35 PM,12:35 PM,FREE,BUSY
07/06/15,07:05 PM,07:05 PM,Reds at Nationals,Nationals Park,,07/06/15,07/06/15,10:05 PM,10:05 PM,FALSE,TRUE,07/06/15,06:05 PM,06:05 PM,FREE,BUSY
07/07/15,07:05 PM,07:05 PM,Reds at Nationals,Nationals Park,,07/07/15,07/07/15,10:05 PM,10:05 PM,FALSE,TRUE,07/07/15,06:05 PM,06:05 PM,FREE,BUSY
07/08/15,07:05 PM,07:05 PM,Reds at Nationals,Nationals Park,,07/08/15,07/08/15,10:05 PM,10:05 PM,FALSE,TRUE,07/08/15,06:05 PM,06:05 PM,FREE,BUSY
07/10/15,07:05 PM,07:05 PM,Nationals at Orioles,Oriole Park at Camden Yards,,07/10/15,07/10/15,10:05 PM,10:05 PM,FALSE,TRUE,07/10/15,06:05 PM,06:05 PM,FREE,BUSY
07/11/15,07:15 PM,07:15 PM,Nationals at Orioles,Oriole Park at Camden Yards,,07/11/15,07/11/15,10:15 PM,10:15 PM,FALSE,TRUE,07/11/15,06:15 PM,06:15 PM,FREE,BUSY
07/12/15,01:35 PM,01:35 PM,Nationals at Orioles,Oriole Park at Camden Yards,,07/12/15,07/12/15,04:35 PM,04:35 PM,FALSE,TRUE,07/12/15,12:35 PM,12:35 PM,FREE,BUSY
07/14/15,03:33 AM,03:33 AM,AL All-Stars at NL All-Stars,Great American Ball Park,,07/14/15,07/14/15,06:33 AM,06:33 AM,FALSE,TRUE,07/14/15,02:33 AM,02:33 AM,FREE,BUSY
07/17/15,07:05 PM,07:05 PM,Dodgers at Nationals,Nationals Park,,07/17/15,07/17/15,10:05 PM,10:05 PM,FALSE,TRUE,07/17/15,06:05 PM,06:05 PM,FREE,BUSY
07/18/15,04:05 PM,04:05 PM,Dodgers at Nationals,Nationals Park,,07/18/15,07/18/15,07:05 PM,07:05 PM,FALSE,TRUE,07/18/15,03:05 PM,03:05 PM,FREE,BUSY
07/19/15,01:35 PM,01:35 PM,Dodgers at Nationals,Nationals Park,,07/19/15,07/19/15,04:35 PM,04:35 PM,FALSE,TRUE,07/19/15,12:35 PM,12:35 PM,FREE,BUSY
07/20/15,07:05 PM,07:05 PM,Mets at Nationals,Nationals Park,,07/20/15,07/20/15,10:05 PM,10:05 PM,FALSE,TRUE,07/20/15,06:05 PM,06:05 PM,FREE,BUSY
07/21/15,07:05 PM,07:05 PM,Mets at Nationals,Nationals Park,,07/21/15,07/21/15,10:05 PM,10:05 PM,FALSE,TRUE,07/21/15,06:05 PM,06:05 PM,FREE,BUSY
07/22/15,12:35 PM,12:35 PM,Mets at Nationals,Nationals Park,,07/22/15,07/22/15,03:35 PM,03:35 PM,FALSE,TRUE,07/22/15,11:35 AM,11:35 AM,FREE,BUSY
07/23/15,07:05 PM,07:05 PM,Nationals at Pirates,PNC Park,,07/23/15,07/23/15,10:05 PM,10:05 PM,FALSE,TRUE,07/23/15,06:05 PM,06:05 PM,FREE,BUSY
07/24/15,07:05 PM,07:05 PM,Nationals at Pirates,PNC Park,,07/24/15,07/24/15,10:05 PM,10:05 PM,FALSE,TRUE,07/24/15,06:05 PM,06:05 PM,FREE,BUSY
07/25/15,07:05 PM,07:05 PM,Nationals at Pirates,PNC Park,,07/25/15,07/25/15,10:05 PM,10:05 PM,FALSE,TRUE,07/25/15,06:05 PM,06:05 PM,FREE,BUSY
07/26/15,01:35 PM,01:35 PM,Nationals at Pirates,PNC Park,,07/26/15,07/26/15,04:35 PM,04:35 PM,FALSE,TRUE,07/26/15,12:35 PM,12:35 PM,FREE,BUSY
07/28/15,07:10 PM,07:10 PM,Nationals at Marlins,Marlins Park,,07/28/15,07/28/15,10:10 PM,10:10 PM,FALSE,TRUE,07/28/15,06:10 PM,06:10 PM,FREE,BUSY
07/29/15,07:10 PM,07:10 PM,Nationals at Marlins,Marlins Park,,07/29/15,07/29/15,10:10 PM,10:10 PM,FALSE,TRUE,07/29/15,06:10 PM,06:10 PM,FREE,BUSY
07/30/15,12:10 PM,12:10 PM,Nationals at Marlins,Marlins Park,,07/30/15,07/30/15,03:10 PM,03:10 PM,FALSE,TRUE,07/30/15,11:10 AM,11:10 AM,FREE,BUSY
07/31/15,07:10 PM,07:10 PM,Nationals at Mets,Citi Field,,07/31/15,07/31/15,10:10 PM,10:10 PM,FALSE,TRUE,07/31/15,06:10 PM,06:10 PM,FREE,BUSY
08/01/15,07:10 PM,07:10 PM,Nationals at Mets,Citi Field,,08/01/15,08/01/15,10:10 PM,10:10 PM,FALSE,TRUE,08/01/15,06:10 PM,06:10 PM,FREE,BUSY
08/02/15,01:10 PM,01:10 PM,Nationals at Mets,Citi Field,,08/02/15,08/02/15,04:10 PM,04:10 PM,FALSE,TRUE,08/02/15,12:10 PM,12:10 PM,FREE,BUSY
08/03/15,07:05 PM,07:05 PM,D-backs at Nationals,Nationals Park,,08/03/15,08/03/15,10:05 PM,10:05 PM,FALSE,TRUE,08/03/15,06:05 PM,06:05 PM,FREE,BUSY
08/04/15,07:05 PM,07:05 PM,D-backs at Nationals,Nationals Park,,08/04/15,08/04/15,10:05 PM,10:05 PM,FALSE,TRUE,08/04/15,06:05 PM,06:05 PM,FREE,BUSY
08/05/15,07:05 PM,07:05 PM,D-backs at Nationals,Nationals Park,,08/05/15,08/05/15,10:05 PM,10:05 PM,FALSE,TRUE,08/05/15,06:05 PM,06:05 PM,FREE,BUSY
08/06/15,04:05 PM,04:05 PM,D-backs at Nationals,Nationals Park,,08/06/15,08/06/15,07:05 PM,07:05 PM,FALSE,TRUE,08/06/15,03:05 PM,03:05 PM,FREE,BUSY
08/07/15,07:05 PM,07:05 PM,Rockies at Nationals,Nationals Park,,08/07/15,08/07/15,10:05 PM,10:05 PM,FALSE,TRUE,08/07/15,06:05 PM,06:05 PM,FREE,BUSY
08/08/15,07:05 PM,07:05 PM,Rockies at Nationals,Nationals Park,,08/08/15,08/08/15,10:05 PM,10:05 PM,FALSE,TRUE,08/08/15,06:05 PM,06:05 PM,FREE,BUSY
08/09/15,01:35 PM,01:35 PM,Rockies at Nationals,Nationals Park,,08/09/15,08/09/15,04:35 PM,04:35 PM,FALSE,TRUE,08/09/15,12:35 PM,12:35 PM,FREE,BUSY
08/10/15,10:10 PM,10:10 PM,Nationals at Dodgers,Dodger Stadium,,08/11/15,08/11/15,01:10 AM,01:10 AM,FALSE,TRUE,08/10/15,09:10 PM,09:10 PM,FREE,BUSY
08/11/15,10:10 PM,10:10 PM,Nationals at Dodgers,Dodger Stadium,,08/12/15,08/12/15,01:10 AM,01:10 AM,FALSE,TRUE,08/11/15,09:10 PM,09:10 PM,FREE,BUSY
08/12/15,10:10 PM,10:10 PM,Nationals at Dodgers,Dodger Stadium,,08/13/15,08/13/15,01:10 AM,01:10 AM,FALSE,TRUE,08/12/15,09:10 PM,09:10 PM,FREE,BUSY
08/13/15,10:15 PM,10:15 PM,Nationals at Giants,AT&T Park,,08/14/15,08/14/15,01:15 AM,01:15 AM,FALSE,TRUE,08/13/15,09:15 PM,09:15 PM,FREE,BUSY
08/14/15,10:15 PM,10:15 PM,Nationals at Giants,AT&T Park,,08/15/15,08/15/15,01:15 AM,01:15 AM,FALSE,TRUE,08/14/15,09:15 PM,09:15 PM,FREE,BUSY
08/15/15,10:05 PM,10:05 PM,Nationals at Giants,AT&T Park,,08/16/15,08/16/15,01:05 AM,01:05 AM,FALSE,TRUE,08/15/15,09:05 PM,09:05 PM,FREE,BUSY
08/16/15,04:05 PM,04:05 PM,Nationals at Giants,AT&T Park,,08/16/15,08/16/15,07:05 PM,07:05 PM,FALSE,TRUE,08/16/15,03:05 PM,03:05 PM,FREE,BUSY
08/18/15,08:40 PM,08:40 PM,Nationals at Rockies,Coors Field,,08/18/15,08/18/15,11:40 PM,11:40 PM,FALSE,TRUE,08/18/15,07:40 PM,07:40 PM,FREE,BUSY
08/19/15,08:40 PM,08:40 PM,Nationals at Rockies,Coors Field,,08/19/15,08/19/15,11:40 PM,11:40 PM,FALSE,TRUE,08/19/15,07:40 PM,07:40 PM,FREE,BUSY
08/20/15,08:40 PM,08:40 PM,Nationals at Rockies,Coors Field,,08/20/15,08/20/15,11:40 PM,11:40 PM,FALSE,TRUE,08/20/15,07:40 PM,07:40 PM,FREE,BUSY
08/21/15,07:05 PM,07:05 PM,Brewers at Nationals,Nationals Park,,08/21/15,08/21/15,10:05 PM,10:05 PM,FALSE,TRUE,08/21/15,06:05 PM,06:05 PM,FREE,BUSY
08/22/15,07:05 PM,07:05 PM,Brewers at Nationals,Nationals Park,,08/22/15,08/22/15,10:05 PM,10:05 PM,FALSE,TRUE,08/22/15,06:05 PM,06:05 PM,FREE,BUSY
08/23/15,01:35 PM,01:35 PM,Brewers at Nationals,Nationals Park,,08/23/15,08/23/15,04:35 PM,04:35 PM,FALSE,TRUE,08/23/15,12:35 PM,12:35 PM,FREE,BUSY
08/25/15,07:05 PM,07:05 PM,Padres at Nationals,Nationals Park,,08/25/15,08/25/15,10:05 PM,10:05 PM,FALSE,TRUE,08/25/15,06:05 PM,06:05 PM,FREE,BUSY
08/26/15,07:05 PM,07:05 PM,Padres at Nationals,Nationals Park,,08/26/15,08/26/15,10:05 PM,10:05 PM,FALSE,TRUE,08/26/15,06:05 PM,06:05 PM,FREE,BUSY
08/27/15,07:05 PM,07:05 PM,Padres at Nationals,Nationals Park,,08/27/15,08/27/15,10:05 PM,10:05 PM,FALSE,TRUE,08/27/15,06:05 PM,06:05 PM,FREE,BUSY
08/28/15,07:05 PM,07:05 PM,Marlins at Nationals,Nationals Park,,08/28/15,08/28/15,10:05 PM,10:05 PM,FALSE,TRUE,08/28/15,06:05 PM,06:05 PM,FREE,BUSY
08/29/15,07:05 PM,07:05 PM,Marlins at Nationals,Nationals Park,,08/29/15,08/29/15,10:05 PM,10:05 PM,FALSE,TRUE,08/29/15,06:05 PM,06:05 PM,FREE,BUSY
08/30/15,01:35 PM,01:35 PM,Marlins at Nationals,Nationals Park,,08/30/15,08/30/15,04:35 PM,04:35 PM,FALSE,TRUE,08/30/15,12:35 PM,12:35 PM,FREE,BUSY
08/31/15,08:15 PM,08:15 PM,Nationals at Cardinals,Busch Stadium,,08/31/15,08/31/15,11:15 PM,11:15 PM,FALSE,TRUE,08/31/15,07:15 PM,07:15 PM,FREE,BUSY
09/01/15,08:15 PM,08:15 PM,Nationals at Cardinals,Busch Stadium,,09/01/15,09/01/15,11:15 PM,11:15 PM,FALSE,TRUE,09/01/15,07:15 PM,07:15 PM,FREE,BUSY
09/02/15,08:15 PM,08:15 PM,Nationals at Cardinals,Busch Stadium,,09/02/15,09/02/15,11:15 PM,11:15 PM,FALSE,TRUE,09/02/15,07:15 PM,07:15 PM,FREE,BUSY
09/03/15,07:05 PM,07:05 PM,Braves at Nationals,Nationals Park,,09/03/15,09/03/15,10:05 PM,10:05 PM,FALSE,TRUE,09/03/15,06:05 PM,06:05 PM,FREE,BUSY
09/04/15,07:05 PM,07:05 PM,Braves at Nationals,Nationals Park,,09/04/15,09/04/15,10:05 PM,10:05 PM,FALSE,TRUE,09/04/15,06:05 PM,06:05 PM,FREE,BUSY
09/05/15,07:05 PM,07:05 PM,Braves at Nationals,Nationals Park,,09/05/15,09/05/15,10:05 PM,10:05 PM,FALSE,TRUE,09/05/15,06:05 PM,06:05 PM,FREE,BUSY
09/06/15,01:35 PM,01:35 PM,Braves at Nationals,Nationals Park,,09/06/15,09/06/15,04:35 PM,04:35 PM,FALSE,TRUE,09/06/15,12:35 PM,12:35 PM,FREE,BUSY
09/07/15,01:05 PM,01:05 PM,Mets at Nationals,Nationals Park,,09/07/15,09/07/15,04:05 PM,04:05 PM,FALSE,TRUE,09/07/15,12:05 PM,12:05 PM,FREE,BUSY
09/08/15,07:05 PM,07:05 PM,Mets at Nationals,Nationals Park,,09/08/15,09/08/15,10:05 PM,10:05 PM,FALSE,TRUE,09/08/15,06:05 PM,06:05 PM,FREE,BUSY
09/09/15,07:05 PM,07:05 PM,Mets at Nationals,Nationals Park,,09/09/15,09/09/15,10:05 PM,10:05 PM,FALSE,TRUE,09/09/15,06:05 PM,06:05 PM,FREE,BUSY
09/11/15,07:10 PM,07:10 PM,Nationals at Marlins,Marlins Park,,09/11/15,09/11/15,10:10 PM,10:10 PM,FALSE,TRUE,09/11/15,06:10 PM,06:10 PM,FREE,BUSY
09/12/15,04:10 PM,04:10 PM,Nationals at Marlins,Marlins Park,,09/12/15,09/12/15,07:10 PM,07:10 PM,FALSE,TRUE,09/12/15,03:10 PM,03:10 PM,FREE,BUSY
09/13/15,01:10 PM,01:10 PM,Nationals at Marlins,Marlins Park,,09/13/15,09/13/15,04:10 PM,04:10 PM,FALSE,TRUE,09/13/15,12:10 PM,12:10 PM,FREE,BUSY
09/14/15,07:05 PM,07:05 PM,Nationals at Phillies,Citizens Bank Park,,09/14/15,09/14/15,10:05 PM,10:05 PM,FALSE,TRUE,09/14/15,06:05 PM,06:05 PM,FREE,BUSY
09/15/15,07:05 PM,07:05 PM,Nationals at Phillies,Citizens Bank Park,,09/15/15,09/15/15,10:05 PM,10:05 PM,FALSE,TRUE,09/15/15,06:05 PM,06:05 PM,FREE,BUSY
09/16/15,07:05 PM,07:05 PM,Nationals at Phillies,Citizens Bank Park,,09/16/15,09/16/15,10:05 PM,10:05 PM,FALSE,TRUE,09/16/15,06:05 PM,06:05 PM,FREE,BUSY
09/17/15,07:05 PM,07:05 PM,Marlins at Nationals,Nationals Park,,09/17/15,09/17/15,10:05 PM,10:05 PM,FALSE,TRUE,09/17/15,06:05 PM,06:05 PM,FREE,BUSY
09/18/15,07:05 PM,07:05 PM,Marlins at Nationals,Nationals Park,,09/18/15,09/18/15,10:05 PM,10:05 PM,FALSE,TRUE,09/18/15,06:05 PM,06:05 PM,FREE,BUSY
09/19/15,04:05 PM,04:05 PM,Marlins at Nationals,Nationals Park,,09/19/15,09/19/15,07:05 PM,07:05 PM,FALSE,TRUE,09/19/15,03:05 PM,03:05 PM,FREE,BUSY
09/20/15,01:35 PM,01:35 PM,Marlins at Nationals,Nationals Park,,09/20/15,09/20/15,04:35 PM,04:35 PM,FALSE,TRUE,09/20/15,12:35 PM,12:35 PM,FREE,BUSY
09/21/15,07:05 PM,07:05 PM,Orioles at Nationals,Nationals Park,,09/21/15,09/21/15,10:05 PM,10:05 PM,FALSE,TRUE,09/21/15,06:05 PM,06:05 PM,FREE,BUSY
09/22/15,07:05 PM,07:05 PM,Orioles at Nationals,Nationals Park,,09/22/15,09/22/15,10:05 PM,10:05 PM,FALSE,TRUE,09/22/15,06:05 PM,06:05 PM,FREE,BUSY
09/23/15,07:05 PM,07:05 PM,Orioles at Nationals,Nationals Park,,09/23/15,09/23/15,10:05 PM,10:05 PM,FALSE,TRUE,09/23/15,06:05 PM,06:05 PM,FREE,BUSY
09/25/15,07:05 PM,07:05 PM,Phillies at Nationals,Nationals Park,,09/25/15,09/25/15,10:05 PM,10:05 PM,FALSE,TRUE,09/25/15,06:05 PM,06:05 PM,FREE,BUSY
09/26/15,04:05 PM,04:05 PM,Phillies at Nationals,Nationals Park,,09/26/15,09/26/15,07:05 PM,07:05 PM,FALSE,TRUE,09/26/15,03:05 PM,03:05 PM,FREE,BUSY
09/27/15,01:35 PM,01:35 PM,Phillies at Nationals,Nationals Park,,09/27/15,09/27/15,04:35 PM,04:35 PM,FALSE,TRUE,09/27/15,12:35 PM,12:35 PM,FREE,BUSY
09/29/15,07:10 PM,07:10 PM,Nationals at Braves,Turner Field,,09/29/15,09/29/15,10:10 PM,10:10 PM,FALSE,TRUE,09/29/15,06:10 PM,06:10 PM,FREE,BUSY
09/30/15,07:10 PM,07:10 PM,Nationals at Braves,Turner Field,,09/30/15,09/30/15,10:10 PM,10:10 PM,FALSE,TRUE,09/30/15,06:10 PM,06:10 PM,FREE,BUSY
10/01/15,07:10 PM,07:10 PM,Nationals at Braves,Turner Field,,10/01/15,10/01/15,10:10 PM,10:10 PM,FALSE,TRUE,10/01/15,06:10 PM,06:10 PM,FREE,BUSY
10/02/15,07:10 PM,07:10 PM,Nationals at Mets,Citi Field,,10/02/15,10/02/15,10:10 PM,10:10 PM,FALSE,TRUE,10/02/15,06:10 PM,06:10 PM,FREE,BUSY
10/03/15,07:10 PM,07:10 PM,Nationals at Mets,Citi Field,,10/03/15,10/03/15,10:10 PM,10:10 PM,FALSE,TRUE,10/03/15,06:10 PM,06:10 PM,FREE,BUSY
10/04/15,03:10 PM,03:10 PM,Nationals at Mets,Citi Field,,10/04/15,10/04/15,06:10 PM,06:10 PM,FALSE,TRUE,10/04/15,02:10 PM,02:10 PM,FREE,BUSY